Deltoid,Bicep,Time,Bandpass_Filtered_Deltoid,Bandpass_Filtered_Bicep,RMS_Deltoid,RMS_Bicep
0.0,-3.0,0.674,,,,
-1.0,-6.0,0.675,,,,
-4.0,-7.0,0.6759999999999999,,,,
-6.0,-8.0,0.677,,,,
-2.0,-8.0,0.6779999999999999,,,,
6.0,-7.0,0.679,,,,
10.0,-5.0,0.68,,,,
7.0,-2.0,0.6809999999999999,,,,
3.0,1.0,0.682,,,,
4.0,3.0,0.6829999999999999,,,,
7.0,0.0,0.684,,,,
7.0,-2.0,0.685,,,,
4.0,-1.0,0.6859999999999999,,,,
1.0,4.0,0.687,,,,
0.0,3.0,0.688,,,,
0.0,-2.0,0.6890000000000001,,,,
1.0,-5.0,0.69,,,,
2.0,-1.0,0.691,,,,
2.0,0.0,0.6920000000000001,,,,
1.0,-1.0,0.693,,,,
-2.0,-2.0,0.6940000000000001,,,,
-4.0,0.0,0.695,,,,
-5.0,2.0,0.696,,,,
-4.0,-5.0,0.6970000000000001,,,,
-1.0,-9.0,0.698,,,,
3.0,-7.0,0.6990000000000001,,,,
7.0,-2.0,0.7,,,,
11.0,1.0,0.701,,,,
9.0,0.0,0.7020000000000001,,,,
7.0,-1.0,0.703,,,,
4.0,0.0,0.7040000000000001,,,,
4.0,0.0,0.705,,,,
8.0,-1.0,0.706,,,,
9.0,0.0,0.7070000000000001,,,,
9.0,2.0,0.708,,,,
6.0,5.0,0.7090000000000001,,,,
4.0,6.0,0.71,,,,
5.0,5.0,0.711,,,,
7.0,3.0,0.7120000000000001,,,,
6.0,1.0,0.713,,,,
2.0,-1.0,0.7140000000000001,,,,
0.0,-3.0,0.715,,,,
-1.0,-2.0,0.716,,,,
-2.0,-4.0,0.7170000000000001,,,,
-2.0,-3.0,0.718,,,,
-1.0,-2.0,0.7190000000000001,,,,
4.0,-1.0,0.72,,,,
8.0,0.0,0.721,,,,
6.0,3.0,0.722,,,,
3.0,3.0,0.723,,,,
3.0,0.0,0.7240000000000001,,,,
6.0,-2.0,0.725,,,,
5.0,-2.0,0.726,,,,
3.0,0.0,0.727,,,,
3.0,-1.0,0.728,,,,
2.0,0.0,0.7290000000000001,,,,
1.0,0.0,0.73,,,,
1.0,0.0,0.731,,,,
3.0,-2.0,0.732,,,,
6.0,-2.0,0.733,,,,
5.0,-3.0,0.7340000000000001,,,,
-2.0,-3.0,0.735,,,,
-5.0,-5.0,0.736,,,,
-5.0,-7.0,0.737,,,,
-2.0,-6.0,0.738,,,,
0.0,-4.0,0.7390000000000001,,,,
3.0,-2.0,0.74,,,,
4.0,0.0,0.741,,,,
4.0,3.0,0.742,,,,
3.0,2.0,0.743,,,,
3.0,-2.0,0.7440000000000001,,,,
3.0,-3.0,0.745,,,,
2.0,1.0,0.746,,,,
-1.0,2.0,0.747,,,,
0.0,2.0,0.748,,,,
4.0,2.0,0.7490000000000001,,,,
5.0,3.0,0.75,,,,
2.0,0.0,0.7509999999999999,,,,
0.0,-2.0,0.752,,,,
1.0,1.0,0.753,,,,
3.0,5.0,0.754,,,,
4.0,3.0,0.755,,,,
1.0,-4.0,0.7559999999999999,,,,
-2.0,-9.0,0.757,,,,
-3.0,-5.0,0.758,,,,
1.0,0.0,0.759,,,,
